partida_id,temporada,rodada,data,horario,clube_mandante,clube_mandante_slug,clube_visitante,clube_visitante_slug,gols_mandante,gols_visitante,total_gols,saldo_mandante,resultado,vencedor,arena,mandante_uf,visitante_uf,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
108,2003,9,2003-05-18,18:00,Sao Paulo,sao_paulo,Parana,parana,2,0,2,2,Vitoria Mandante,Sao Paulo, Morumbi,SP,PR,,,,
109,2003,10,2003-05-24,16:00,Atletico-MG,atletico_mg,Fluminense,fluminense,3,0,3,3,Vitoria Mandante,Atletico-MG,  Independência,MG,RJ,,,,
110,2003,10,2003-05-24,16:00,Parana,parana,Sao Caetano,sao_caetano,1,1,2,0,Empate,-, Pinheirão,PR,SP,,,,
111,2003,10,2003-05-24,16:00,Corinthians,corinthians,Juventude,juventude,3,0,3,3,Vitoria Mandante,Corinthians, Pacaembu,SP,RS,,,,
112,2003,10,2003-05-24,18:00,Vasco,vasco,Ponte Preta,ponte_preta,1,0,1,1,Vitoria Mandante,Vasco, São Januário,RJ,SP,,,,
113,2003,10,2003-05-25,16:00,Athletico-PR,athletico_pr,Flamengo,flamengo,4,1,5,3,Vitoria Mandante,Athletico-PR, Arena da Baixada,PR,RJ,,,,
114,2003,10,2003-05-25,16:00,Paysandu,paysandu,Coritiba,coritiba,1,3,4,-2,Vitoria Visitante,Coritiba, Mangueirão,PA,PR,,,,
115,2003,10,2003-05-25,16:00,Goias,goias,Criciuma,criciuma,0,2,2,-2,Vitoria Visitante,Criciuma, Serra Dourada,GO,SC,,,,
116,2003,10,2003-05-25,16:00,Gremio,gremio,Sao Paulo,sao_paulo,1,2,3,-1,Vitoria Visitante,Sao Paulo, Olímpico,RS,SP,,,,
117,2003,10,2003-05-25,16:00,Guarani,guarani,Fortaleza,fortaleza,2,1,3,1,Vitoria Mandante,Guarani, Brinco de Ouro,SP,CE,,,,
118,2003,10,2003-05-25,16:00,Figueirense,figueirense,Bahia,bahia,1,0,1,1,Vitoria Mandante,Figueirense, Orlando Scarpelli,SC,BA,,,,
119,2003,10,2003-05-25,18:00,Vitoria,vitoria,Cruzeiro,cruzeiro,2,1,3,1,Vitoria Mandante,Vitoria, Barradão,BA,MG,,,,
120,2003,10,2003-05-25,18:00,Santos,santos,Internacional,internacional,2,1,3,1,Vitoria Mandante,Santos, Vila Belmiro,SP,RS,,,,
121,2003,11,2003-05-31,16:00,Fluminense,fluminense,Athletico-PR,athletico_pr,2,1,3,1,Vitoria Mandante,Fluminense,  Édson Passos,RJ,PR,,,,
122,2003,11,2003-05-31,16:00,Cruzeiro,cruzeiro,Criciuma,criciuma,2,0,2,2,Vitoria Mandante,Cruzeiro, Mineirão,MG,SC,,,,
123,2003,11,2003-05-31,16:00,Coritiba,coritiba,Guarani,guarani,3,2,5,1,Vitoria Mandante,Coritiba, Couto Pereira,PR,SP,,,,
124,2003,11,2003-05-31,16:00,Ponte Preta,ponte_preta,Sao Caetano,sao_caetano,0,0,0,0,Empate,-, Moisés Lucarelli,SP,SP,,,,
125,2003,11,2003-05-31,18:00,Internacional,internacional,Paysandu,paysandu,2,1,3,1,Vitoria Mandante,Internacional, Beira Rio,RS,PA,,,,
126,2003,11,2003-06-01,16:00,Parana,parana,Flamengo,flamengo,6,2,8,4,Vitoria Mandante,Parana, Pinheirão,PR,RJ,,,,
127,2003,11,2003-06-01,16:00,Bahia,bahia,Goias,goias,2,1,3,1,Vitoria Mandante,Bahia, Fonte Nova,BA,GO,,,,
128,2003,11,2003-06-01,16:00,Fortaleza,fortaleza,Juventude,juventude,3,1,4,2,Vitoria Mandante,Fortaleza, Castelão,CE,RS,,,,
129,2003,11,2003-06-01,16:00,Figueirense,figueirense,Gremio,gremio,2,1,3,1,Vitoria Mandante,Figueirense, Orlando Scarpelli,SC,RS,,,,
130,2003,11,2003-06-01,16:00,Santos,santos,Sao Paulo,sao_paulo,3,2,5,1,Vitoria Mandante,Santos, Vila Belmiro,SP,SP,,,,
131,2003,11,2003-06-01,18:00,Corinthians,corinthians,Vitoria,vitoria,4,0,4,4,Vitoria Mandante,Corinthians, Pacaembu,SP,BA,,,,
132,2003,11,2003-06-01,18:00,Vasco,vasco,Atletico-MG,atletico_mg,2,2,4,0,Empate,-, São Januário,RJ,MG,,,,
133,2003,12,2003-06-07,16:00,Vitoria,vitoria,Fluminense,fluminense,2,1,3,1,Vitoria Mandante,Vitoria, Barradão,BA,RJ,,,,
134,2003,12,2003-06-07,16:00,Guarani,guarani,Santos,santos,1,2,3,-1,Vitoria Visitante,Santos, Brinco de Ouro,SP,SP,,,,
135,2003,12,2003-06-07,16:00,Gremio,gremio,Fortaleza,fortaleza,3,1,4,2,Vitoria Mandante,Gremio, Olímpico,RS,CE,,,,
136,2003,12,2003-06-07,18:00,Atletico-MG,atletico_mg,Figueirense,figueirense,1,1,2,0,Empate,-,  Independência,MG,SC,,,,
137,2003,12,2003-06-08,16:00,Paysandu,paysandu,Parana,parana,3,0,3,3,Vitoria Mandante,Paysandu, Mangueirão,PA,PR,,,,
138,2003,12,2003-06-08,16:00,Juventude,juventude,Vasco,vasco,0,0,0,0,Empate,-, Alfredo Jaconi,RS,RJ,,,,
139,2003,12,2003-06-08,16:00,Athletico-PR,athletico_pr,Ponte Preta,ponte_preta,4,2,6,2,Vitoria Mandante,Athletico-PR, Arena da Baixada,PR,SP,,,,
140,2003,12,2003-06-08,16:00,Goias,goias,Coritiba,coritiba,1,2,3,-1,Vitoria Visitante,Coritiba, Serra Dourada,GO,PR,,,,
141,2003,12,2003-06-08,16:00,Sao Caetano,sao_caetano,Corinthians,corinthians,1,0,1,1,Vitoria Mandante,Sao Caetano, Anacleto Campanella,SP,SP,,,,
142,2003,12,2003-06-08,18:00,Criciuma,criciuma,Internacional,internacional,1,0,1,1,Vitoria Mandante,Criciuma, Heriberto Hulse,SC,RS,,,,
143,2003,12,2003-06-08,18:00,Sao Paulo,sao_paulo,Bahia,bahia,2,2,4,0,Empate,-, Morumbi,SP,BA,,,,
145,2003,13,2003-06-14,16:00,Fluminense,fluminense,Goias,goias,2,3,5,-1,Vitoria Visitante,Goias, Maracanã,RJ,GO,,,,
146,2003,13,2003-06-14,16:00,Ponte Preta,ponte_preta,Guarani,guarani,0,2,2,-2,Vitoria Visitante,Guarani, Moisés Lucarelli,SP,SP,,,,
147,2003,13,2003-06-14,18:00,Coritiba,coritiba,Athletico-PR,athletico_pr,2,0,2,2,Vitoria Mandante,Coritiba, Couto Pereira,PR,PR,,,,
148,2003,13,2003-06-15,16:00,Corinthians,corinthians,Sao Paulo,sao_paulo,1,2,3,-1,Vitoria Visitante,Sao Paulo, Morumbi,SP,SP,,,,
149,2003,13,2003-06-15,16:00,Fortaleza,fortaleza,Paysandu,paysandu,1,2,3,-1,Vitoria Visitante,Paysandu, Presidente Vargas,CE,PA,,,,
150,2003,13,2003-06-15,16:00,Parana,parana,Juventude,juventude,1,2,3,-1,Vitoria Visitante,Juventude, Pinheirão,PR,RS,,,,
151,2003,13,2003-06-15,16:00,Gremio,gremio,Internacional,internacional,0,0,0,0,Empate,-, Olímpico,RS,RS,,,,
152,2003,13,2003-06-15,16:00,Santos,santos,Sao Caetano,sao_caetano,0,1,1,-1,Vitoria Visitante,Sao Caetano, Vila Belmiro,SP,SP,,,,
