partida_id,temporada,serie,rodada,clube,clube_slug,momento,periodo,minuto_nominal,acrescimo,minuto_continuo,num_entrou,atleta_entrou,atleta_entrou_slug,num_saiu,atleta_saiu,atleta_saiu_slug
184,2026,A,19,Remo,remo,2T,2T,27,0,72,19,Gabriel Pereira Taliari,gabriel_pereira_taliari,11,Alef Mangueira Severino Pere,alef_mangueira_severino_pere
184,2026,A,19,Corinthians,corinthians,2T,2T,27,0,72,19,Andre Martin Carrillo Diaz,andre_martin_carrillo_diaz,37,Kaio Cesar Andrade Lima,kaio_cesar_andrade_lima
184,2026,A,19,Corinthians,corinthians,2T,2T,27,0,72,77,Jesse Ellis Lingard,jesse_ellis_lingard,52,Zakaria Labyad,zakaria_labyad
184,2026,A,19,Corinthians,corinthians,2T,2T,34,0,79,23,Matheus Pereira da Silva,matheus_pereira_da_silva,49,André Luiz Santos Dias,andre_luiz_santos_dias
184,2026,A,19,Remo,remo,2T,2T,34,0,79,14,Leonel Marcelo Picco,leonel_marcelo_picco,8,Patrick Bezerra do Nascimento,patrick_bezerra_do_nascimento
184,2026,A,19,Corinthians,corinthians,2T,2T,34,0,79,26,Fabrizio German Angileri,fabrizio_german_angileri,21,Matheus Lima Beltrao Oliveira,matheus_lima_beltrao_oliveira
184,2026,A,19,Remo,remo,2T,2T,34,0,79,2,Matheus Alexandre Anastacio,matheus_alexandre_anastacio,22,Glaybson Yago Souza Lisboa,glaybson_yago_souza_lisboa
184,2026,A,19,Corinthians,corinthians,2T,2T,40,0,85,61,Diego da Cruz Lopes,diego_da_cruz_lopes,7,Breno de Souza Bidon,breno_de_souza_bidon
184,2026,A,19,Remo,remo,2T,2T,43,0,88,61,Paulo Sérgio da Costa Evange,paulo_sergio_da_costa_evange,7,Jandir Breno Souza Silva,jandir_breno_souza_silva
185,2026,A,19,Mirassol,mirassol,2T,2T,26,0,71,96,Carlos Eduardo Ferreira de S,carlos_eduardo_ferreira_de_s,95,Edson Guilherme Mendes dos S,edson_guilherme_mendes_dos_s
185,2026,A,19,Mirassol,mirassol,2T,2T,30,0,75,9,Andre Luis Silva de Aguiar,andre_luis_silva_de_aguiar,30,Bruno Santos de Oliveira,bruno_santos_de_oliveira
185,2026,A,19,Mirassol,mirassol,2T,2T,30,0,75,7,Shaylon Kallyson Cardozo,shaylon_kallyson_cardozo,5,Joao Wellington Gadelha Melo,joao_wellington_gadelha_melo
185,2026,A,19,Grêmio,gremio,2T,2T,34,0,79,65,Riquelme Freitas dos Santos,riquelme_freitas_dos_santos,5,Juan Ignacio Martin Nardoni,juan_ignacio_martin_nardoni
185,2026,A,19,Mirassol,mirassol,2T,2T,37,0,82,17,Fernando Jose Marques Maciel,fernando_jose_marques_maciel,77,Alesson dos Santos Batista,alesson_dos_santos_batista
