partida_id,temporada,serie,rodada,clube,clube_slug,num_camisa,apelido,nome_completo,nome_truncado,atleta_slug,apelido_slug,condicao,goleiro,presente,registro_cbf
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,34,Jonathan,Jonathan de Jesus Alves,False,jonathan_de_jesus_alves,jonathan,Titular,False,True,742015
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,36,Kauã Prates,Kaua Prates de Almeida,False,kaua_prates_de_almeida,kaua_prates,Reserva,False,True,717793
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,43,Joao Marcelo,Joao Marcelo Messias,True,joao_marcelo,joao_marcelo,Reserva,False,True,525643
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,70,Kaique Kenji,Kaique Kenji Takamur,True,kaique_kenji,kaique_kenji,Reserva,False,True,726547
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,77,JAPA,Joao Wellington Gade,True,japa,japa,Reserva,False,True,618867
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,81,Otávio,Otavio Eleodoro Reze,True,otavio,otavio,Reserva,True,True,629009
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,88,Christian,Christian Roberto Al,True,christian,christian,Reserva,False,True,546294
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,91,Chico,Francisco da Costa Aragao,False,francisco_da_costa_aragao,chico,Reserva,False,True,372030
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,94,WANDERSON,Wanderson Maciel Sou,True,wanderson,wanderson,Titular,False,True,753325
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,99,Arroyo,Keny Alexander Arroy,True,arroyo,arroyo,Reserva,False,True,931360
3,2026,A,1,Flamengo,flamengo,1,ROSSI,Agustin Daniel Rossi,False,agustin_daniel_rossi,rossi,Titular,True,True,815100
3,2026,A,1,Flamengo,flamengo,2,Varela,Guillermo Varela Olivera,False,guillermo_varela_olivera,varela,Titular,False,True,778033
3,2026,A,1,Flamengo,flamengo,3,Léo Ortiz,Leonardo Rech Ortiz,False,leonardo_rech_ortiz,leo_ortiz,Titular,False,True,422469
3,2026,A,1,Flamengo,flamengo,4,Leo Pereira,Leonardo Pereira,False,leonardo_pereira,leo_pereira,Titular,False,True,310373
3,2026,A,1,Flamengo,flamengo,5,Erick Pulgar,Erick Antonio Pulgar,True,erick_pulgar,erick_pulgar,Titular,False,True,777370
3,2026,A,1,Flamengo,flamengo,6,Ayrton Lucas,Ayrton Lucas Dantas,True,ayrton_lucas,ayrton_lucas,Reserva,False,True,432491
3,2026,A,1,Flamengo,flamengo,9,Pedro,Pedro Guilherme Abre,True,pedro,pedro,Titular,False,True,303716
3,2026,A,1,Flamengo,flamengo,10,De Arrascaeta,Giorgian Daniel de A,True,de_arrascaeta,de_arrascaeta,Reserva,False,True,521990
3,2026,A,1,Flamengo,flamengo,11,Everton,Everton Sousa Soares,False,everton_sousa_soares,everton,Titular,False,True,379065
3,2026,A,1,Flamengo,flamengo,15,Carrascal,Jorge Andres Carrasc,True,carrascal,carrascal,Titular,False,True,925353
3,2026,A,1,Flamengo,flamengo,16,Samuel Lino,Samuel Dias Lino,False,samuel_dias_lino,samuel_lino,Reserva,False,True,547454
3,2026,A,1,Flamengo,flamengo,19,Plata,Gonzalo Jordy Plata,True,plata,plata,Titular,False,True,881923
3,2026,A,1,Flamengo,flamengo,21,Jorge,Jorge Luiz Frello Filho,False,jorge_luiz_frello_filho,jorge,Reserva,False,True,305435
3,2026,A,1,Flamengo,flamengo,22,Emerson,Emerson Aparecido Le,True,emerson,emerson,Reserva,False,True,311313
3,2026,A,1,Flamengo,flamengo,26,Alex Sandro,Alex Sandro Lobo Silva,False,alex_sandro_lobo_silva,alex_sandro,Titular,False,True,186325
3,2026,A,1,Flamengo,flamengo,27,Bruno Henr ...,Bruno Henrique Pinto,False,bruno_henrique_pinto,bruno_henr,Reserva,False,True,401839
3,2026,A,1,Flamengo,flamengo,42,Andrew,Andrew da Silva Ventura,False,andrew_da_silva_ventura,andrew,Reserva,True,True,554750
3,2026,A,1,Flamengo,flamengo,44,Vitão,Vitor Eduardo da Sil,True,vitao,vitao,Reserva,False,True,506499
3,2026,A,1,Flamengo,flamengo,47,Guilherme,Guilherme Henrique B,True,guilherme,guilherme,Reserva,False,True,686967
3,2026,A,1,Flamengo,flamengo,51,Daniel Sales,Daniel dos Santos Sales,False,daniel_dos_santos_sales,daniel_sales,Reserva,False,True,726033
3,2026,A,1,Flamengo,flamengo,52,Evertton,Evertton Gustavo Fer,True,evertton,evertton,Titular,False,True,567910
3,2026,A,1,Flamengo,flamengo,56,Pablo,Pablo Lucio,False,pablo_lucio,pablo,Reserva,False,True,675359
3,2026,A,1,Flamengo,flamengo,81,Douglas Te ...,Douglas Costa Telles,False,douglas_costa_telles,douglas_te,Reserva,False,True,731215
3,2026,A,1,São Paulo,sao_paulo,2,Toloi,Rafael Toloi,False,rafael_toloi,toloi,Reserva,False,True,184801
3,2026,A,1,São Paulo,sao_paulo,4,Matheus,Matheus Doria Macedo,False,matheus_doria_macedo,matheus,Reserva,False,True,317379
3,2026,A,1,São Paulo,sao_paulo,5,Arboleda,Robert Abel Arboleda,True,arboleda,arboleda,Titular,False,True,595193
3,2026,A,1,São Paulo,sao_paulo,7,Lucas Moura,Lucas Rodrigues Mour,True,lucas_moura,lucas_moura,Reserva,False,True,299760
3,2026,A,1,São Paulo,sao_paulo,8,Marcos Ant ...,Marcos Antonio Silva,True,marcos_ant,marcos_ant,Titular,False,True,461223
3,2026,A,1,São Paulo,sao_paulo,9,Calleri,Jonathan Calleri,False,jonathan_calleri,calleri,Titular,False,True,541246
3,2026,A,1,São Paulo,sao_paulo,10,Luciano,Luciano da Rocha Neves,False,luciano_da_rocha_neves,luciano,Titular,False,True,346745
3,2026,A,1,São Paulo,sao_paulo,11,Ferreira,Aldemir dos Santos F,True,ferreira,ferreira,Reserva,False,True,505058
3,2026,A,1,São Paulo,sao_paulo,13,Enzo Díaz,Enzo Hernan Díaz,False,enzo_hernan_diaz,enzo_diaz,Titular,False,True,894285
3,2026,A,1,São Paulo,sao_paulo,14,Gonzalo Tapia,Gonzalo Andrés Tapia,True,gonzalo_tapia,gonzalo_tapia,Reserva,False,True,923426
3,2026,A,1,São Paulo,sao_paulo,16,Damián Bob ...,Damian Josue Bobadil,True,damian_bob,damian_bob,Titular,False,True,836790
3,2026,A,1,São Paulo,sao_paulo,18,Wendell,Wendell Nascimento Borges,False,wendell_nascimento_borges,wendell,Reserva,False,True,327288
3,2026,A,1,São Paulo,sao_paulo,21,Cédric,Cedric Ricardo Alves,True,cedric,cedric,Reserva,False,True,894834
3,2026,A,1,São Paulo,sao_paulo,23,Rafael,Rafael Pires Monteiro,False,rafael_pires_monteiro,rafael,Titular,True,True,180213
3,2026,A,1,São Paulo,sao_paulo,28,Alan Franco,Alan Javier Franco,False,alan_javier_franco,alan_franco,Titular,False,True,793760
3,2026,A,1,São Paulo,sao_paulo,29,Pablo Maia,Pablo Gonçalves Maia,True,pablo_maia,pablo_maia,Reserva,False,True,552144
3,2026,A,1,São Paulo,sao_paulo,31,Carlos Cor ...,Carlos Miguel Coronel,False,carlos_miguel_coronel,carlos_cor,Reserva,True,True,341697
3,2026,A,1,São Paulo,sao_paulo,32,Ferraresi,Nahuel Adolfo Ferrar,True,ferraresi,ferraresi,Reserva,False,True,779951
3,2026,A,1,São Paulo,sao_paulo,35,Sabino,Jose Sabino Chagas M,True,sabino,sabino,Titular,False,True,437531
3,2026,A,1,São Paulo,sao_paulo,42,Maik,Maik Gomes Viegas,False,maik_gomes_viegas,maik,Titular,False,True,534267
3,2026,A,1,São Paulo,sao_paulo,45,Lucca,Lucca Marques Alencar,False,lucca_marques_alencar,lucca,Reserva,False,True,751706
3,2026,A,1,São Paulo,sao_paulo,46,Pedro Ferr ...,Pedro Henrique Ferre,True,pedro_ferr,pedro_ferr,Reserva,False,True,751747
3,2026,A,1,São Paulo,sao_paulo,94,Daniel,Daniel de Oliveira S,True,daniel,daniel,Titular,False,True,335362
4,2026,A,1,Bahia,bahia,1,Ronaldo St ...,Ronaldo de Oliveira,True,ronaldo_st,ronaldo_st,Titular,True,True,369161
4,2026,A,1,Bahia,bahia,2,Gilberto,Gilberto Moraes Junior,False,gilberto_moraes_junior,gilberto,Titular,False,True,307134
