partida_id,temporada,rodada,clube,clube_slug,chutes,chutes_no_alvo,posse_de_bola_pct,passes,precisao_passes_pct,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,scouts_validos
59,2003,5,Fluminense,fluminense,0,0,,0,,0,0,0,0,0,False
59,2003,5,Parana,parana,0,0,,0,,0,0,0,0,0,False
60,2003,5,Coritiba,coritiba,0,0,,0,,0,0,0,0,0,False
60,2003,5,Figueirense,figueirense,0,0,,0,,0,0,0,0,0,False
61,2003,6,Atletico-MG,atletico_mg,0,0,,0,,0,0,0,0,0,False
61,2003,6,Coritiba,coritiba,0,0,,0,,0,0,0,0,0,False
62,2003,6,Parana,parana,0,0,,0,,0,0,0,0,0,False
62,2003,6,Bahia,bahia,0,0,,0,,0,0,0,0,0,False
63,2003,6,Vitoria,vitoria,0,0,,0,,0,0,0,0,0,False
63,2003,6,Internacional,internacional,0,0,,0,,0,0,0,0,0,False
64,2003,6,Guarani,guarani,0,0,,0,,0,0,0,0,0,False
64,2003,6,Cruzeiro,cruzeiro,0,0,,0,,0,0,0,0,0,False
65,2003,6,Corinthians,corinthians,0,0,,0,,0,0,0,0,0,False
65,2003,6,Flamengo,flamengo,0,0,,0,,0,0,0,0,0,False
66,2003,6,Juventude,juventude,0,0,,0,,0,0,0,0,0,False
66,2003,6,Goias,goias,0,0,,0,,0,0,0,0,0,False
67,2003,6,Ponte Preta,ponte_preta,0,0,,0,,0,0,0,0,0,False
67,2003,6,Figueirense,figueirense,0,0,,0,,0,0,0,0,0,False
68,2003,6,Fortaleza,fortaleza,0,0,,0,,0,0,0,0,0,False
68,2003,6,Santos,santos,0,0,,0,,0,0,0,0,0,False
69,2003,6,Gremio,gremio,0,0,,0,,0,0,0,0,0,False
69,2003,6,Fluminense,fluminense,0,0,,0,,0,0,0,0,0,False
70,2003,6,Criciuma,criciuma,0,0,,0,,0,0,0,0,0,False
70,2003,6,Athletico-PR,athletico_pr,0,0,,0,,0,0,0,0,0,False
71,2003,6,Paysandu,paysandu,0,0,,0,,0,0,0,0,0,False
71,2003,6,Sao Paulo,sao_paulo,0,0,,0,,0,0,0,0,0,False
72,2003,6,Vasco,vasco,0,0,,0,,0,0,0,0,0,False
72,2003,6,Sao Caetano,sao_caetano,0,0,,0,,0,0,0,0,0,False
73,2003,7,Vitoria,vitoria,0,0,,0,,0,0,0,0,0,False
73,2003,7,Flamengo,flamengo,0,0,,0,,0,0,0,0,0,False
74,2003,7,Gremio,gremio,0,0,,0,,0,0,0,0,0,False
74,2003,7,Bahia,bahia,0,0,,0,,0,0,0,0,0,False
