partida_id,temporada,rodada,clube,clube_slug,atleta,atleta_slug,minuto_continuo,minuto_nominal,acrescimo,periodo,tipo_de_gol
6876,2019,38,Fluminense,fluminense,Francisco Evanilson de Lima Barbosa,francisco_evanilson_de_lima_barbosa,8,8,0,1T,Normal
6876,2019,38,Fluminense,fluminense,Francisco Evanilson de Lima Barbosa,francisco_evanilson_de_lima_barbosa,28,28,0,1T,Normal
6878,2019,38,Ceara,ceara,Thiago Galhardo,thiago_galhardo,66,66,0,2T,Penalty
6878,2019,38,Botafogo-RJ,botafogo_rj,Marcos Vinícius de Jesus Araújo,marcos_vinicius_de_jesus_araujo,39,39,0,1T,Normal
6880,2019,38,Internacional,internacional,Víctor Cuesta,victor_cuesta,98,90,8,2T,Normal
6880,2019,38,Atletico-MG,atletico_mg,Rómulo Otero,romulo_otero,6,6,0,1T,Normal
6880,2019,38,Internacional,internacional,Paolo Guerrero,paolo_guerrero,82,82,0,2T,Normal
6879,2019,38,CSA,csa,Jarro Pedroso,jarro_pedroso,44,44,0,1T,Normal
6879,2019,38,Sao Paulo,sao_paulo,Jonas Toró,jonas_toro,11,11,0,1T,Normal
6879,2019,38,Sao Paulo,sao_paulo,Igor Vinícius,igor_vinicius,14,14,0,1T,Normal
6881,2019,38,Palmeiras,palmeiras,José Rafael Vivian,jose_rafael_vivian,58,58,0,2T,Normal
6881,2019,38,Palmeiras,palmeiras,Eduardo Pereira Rodrigues,eduardo_pereira_rodrigues,84,84,0,2T,Normal
6882,2019,38,Goias,goias,Rafael Moura,rafael_moura,4,4,0,1T,Normal
6882,2019,38,Gremio,gremio,Isaque Elias,isaque_elias,37,37,0,1T,Normal
6882,2019,38,Goias,goias,Rafael Moura,rafael_moura,45,45,0,1T,Normal
6882,2019,38,Goias,goias,Yago Rocha,yago_rocha,65,65,0,2T,Normal
6882,2019,38,Gremio,gremio,Patrick,patrick,23,23,0,1T,Normal
6883,2019,38,Chapecoense,chapecoense,Vinícius,vinicius,93,90,3,2T,Normal
6883,2019,38,Vasco,vasco,Yago Pikachu,yago_pikachu,84,84,0,2T,Penalty
6885,2019,38,Bahia,bahia,Artur Victor Guimarães,artur_victor_guimaraes,33,33,0,1T,Normal
6885,2019,38,Fortaleza,fortaleza,Osvaldo Filho,osvaldo_filho,13,13,0,1T,Normal
6885,2019,38,Fortaleza,fortaleza,Tinga,tinga,78,78,0,2T,Normal
6877,2019,38,Santos,santos,Carlos Andrés Sánchez,carlos_andres_sanchez,23,23,0,1T,Normal
6877,2019,38,Santos,santos,Carlos Andrés Sánchez,carlos_andres_sanchez,85,85,0,2T,Normal
6877,2019,38,Santos,santos,Eduardo Sasha,eduardo_sasha,63,63,0,2T,Normal
6877,2019,38,Santos,santos,Mário Sérgio Santos Costa,mario_sergio_santos_costa,15,15,0,1T,Normal
6888,2020,1,Sport,sport,Elton Rodrigues Brandão,elton_rodrigues_brandao,20,20,0,1T,Normal
6888,2020,1,Sport,sport,Jonatan Gómez,jonatan_gomez,42,42,0,1T,Normal
6888,2020,1,Ceara,ceara,Cléber,cleber,36,36,0,1T,Normal
6888,2020,1,Sport,sport,Elton Rodrigues Brandão,elton_rodrigues_brandao,34,34,0,1T,Penalty
6888,2020,1,Ceara,ceara,Vítor Jacaré,vitor_jacare,57,57,0,2T,Normal
6887,2020,1,Internacional,internacional,Paolo Guerrero,paolo_guerrero,72,72,0,2T,Normal
6886,2020,1,Athletico-PR,athletico_pr,Vitor Hugo Naum dos Santos,vitor_hugo_naum_dos_santos,22,22,0,1T,Normal
6886,2020,1,Athletico-PR,athletico_pr,Léo Cittadini,leo_cittadini,48,45,3,1T,Normal
6890,2020,1,Atletico-MG,atletico_mg,Filipe Luís,filipe_luis,24,24,0,1T,Gol Contra
6889,2020,1,Santos,santos,Mário Sérgio Santos Costa,mario_sergio_santos_costa,65,65,0,2T,Normal
6889,2020,1,Bragantino,bragantino,Claudinho,claudinho,93,90,3,2T,Normal
6891,2020,1,Gremio,gremio,Diego Souza,diego_souza,45,45,0,1T,Normal
6896,2020,2,Athletico-PR,athletico_pr,Carlos Eduardo Ferreira de Souza,carlos_eduardo_ferreira_de_souza,76,76,0,2T,Normal
6896,2020,2,Goias,goias,Daniel Bessa,daniel_bessa,58,45,13,1T,Penalty
6896,2020,2,Athletico-PR,athletico_pr,Vitor Hugo Naum dos Santos,vitor_hugo_naum_dos_santos,32,32,0,1T,Normal
6898,2020,2,Bragantino,bragantino,Alerrandro Barra Mansa Realino de Souza,alerrandro_barra_mansa_realino_de_souza,6,6,0,1T,Normal
