partida_id,temporada,rodada,data,horario,clube_mandante,clube_mandante_slug,clube_visitante,clube_visitante_slug,gols_mandante,gols_visitante,total_gols,saldo_mandante,resultado,vencedor,arena,mandante_uf,visitante_uf,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,tem_bet_mandante,tipo_bet_mandante,marca_bet_mandante,exposure_clube_mandante,exposure_total_mandante,categoria_exp_mandante,tem_bet_visitante,tipo_bet_visitante,marca_bet_visitante,exposure_clube_visitante,exposure_total_visitante,categoria_exp_visitante,exposure_clube_partida,exposure_total_partida,ambos_patrocinados_bet,algum_patrocinado_bet,categoria_exposicao_partida
41,2003,3,2003-04-13,16:00,Vitoria,vitoria,Vasco,vasco,2,1,3,1,Vitoria Mandante,Vitoria, Barradão,BA,RJ,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
42,2003,3,2003-04-13,16:00,Criciuma,criciuma,Sao Paulo,sao_paulo,1,1,2,0,Empate,-, Heriberto Hulse,SC,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
43,2003,3,2003-04-13,16:00,Fortaleza,fortaleza,Sao Caetano,sao_caetano,1,1,2,0,Empate,-, Presidente Vargas,CE,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
44,2003,3,2003-04-13,16:00,Juventude,juventude,Coritiba,coritiba,2,1,3,1,Vitoria Mandante,Juventude, Alfredo Jaconi,RS,PR,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
45,2003,3,2003-04-13,16:00,Guarani,guarani,Parana,parana,2,0,2,2,Vitoria Mandante,Guarani, Brinco de Ouro,SP,PR,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
46,2003,3,2003-04-13,16:00,Goias,goias,Gremio,gremio,1,1,2,0,Empate,-, Serra Dourada,GO,RS,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
47,2003,3,2003-04-13,18:00,Cruzeiro,cruzeiro,Ponte Preta,ponte_preta,3,0,3,3,Vitoria Mandante,Cruzeiro, Mineirão,MG,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
48,2003,3,2003-04-13,18:00,Flamengo,flamengo,Fluminense,fluminense,4,1,5,3,Vitoria Mandante,Flamengo, Maracanã,RJ,RJ,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
26,2003,4,2003-04-16,20:30,Bahia,bahia,Juventude,juventude,3,1,4,2,Vitoria Mandante,Bahia, Fonte Nova,BA,RS,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
27,2003,4,2003-04-16,20:30,Gremio,gremio,Vitoria,vitoria,2,1,3,1,Vitoria Mandante,Gremio, Olímpico,RS,BA,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
