partida_id,temporada,rodada,clube,clube_slug,cartao,atleta,atleta_slug,num_camisa,posicao,minuto_continuo,minuto_nominal,acrescimo,periodo
8471,2024,7,Vasco,vasco,Amarelo,Pablo Vegetti,pablo_vegetti,99,Atacante,59,59,0,2T
8471,2024,7,Vasco,vasco,Amarelo,Zé Gabriel,ze_gabriel,23,Meio-campo,71,71,0,2T
8472,2024,7,Atletico-MG,atletico_mg,Amarelo,Alan Franco Palma,alan_franco_palma,23,Meio-campo,94,90,4,2T
8472,2024,7,Atletico-MG,atletico_mg,Amarelo,Pedrinho,pedrinho,38,Meio-campo,84,84,0,2T
8472,2024,7,Atletico-MG,atletico_mg,Amarelo,Guilherme Arana,guilherme_arana,13,Zagueiro,16,16,0,1T
8472,2024,7,Bahia,bahia,Amarelo,Gabriel Teixeira,gabriel_teixeira,11,Atacante,80,80,0,2T
8472,2024,7,Bahia,bahia,Amarelo,Thaciano,thaciano,16,Atacante,45,45,0,1T
8472,2024,7,Atletico-MG,atletico_mg,Amarelo,Éverson,everson,22,Goleiro,97,90,7,2T
8472,2024,7,Atletico-MG,atletico_mg,Amarelo,Rodrigo Battaglia,rodrigo_battaglia,21,Meio-campo,93,90,3,2T
8472,2024,7,Atletico-MG,atletico_mg,Amarelo,Gustavo Scarpa,gustavo_scarpa,6,Meio-campo,77,77,0,2T
8472,2024,7,Bahia,bahia,Amarelo,Óscar Estupiñán,oscar_estupinan,29,Atacante,97,90,7,2T
8472,2024,7,Bahia,bahia,Amarelo,Gabriel Xavier,gabriel_xavier,3,Zagueiro,61,61,0,2T
8473,2024,7,Criciuma,criciuma,Amarelo,Gustavo Bonatto Barreto,gustavo_bonatto_barreto,88,Meio-campo,33,33,0,1T
8473,2024,7,Palmeiras,palmeiras,Amarelo,Gustavo Gómez,gustavo_gomez,15,Zagueiro,96,90,6,2T
8473,2024,7,Palmeiras,palmeiras,Amarelo,Caio Paulista,caio_paulista,16,Meio-campo,94,90,4,2T
8473,2024,7,Criciuma,criciuma,Amarelo,Ronald,ronald,6,Meio-campo,94,90,4,2T
8473,2024,7,Criciuma,criciuma,Amarelo,Rodrigo Fagundes de Freitas,rodrigo_fagundes_de_freitas,150,Zagueiro,64,64,0,2T
8473,2024,7,Criciuma,criciuma,Amarelo,Matheus Leonardo Sales Cardoso,matheus_leonardo_sales_cardoso,17,Atacante,19,19,0,1T
8473,2024,7,Palmeiras,palmeiras,Amarelo,José Rafael Vivian,jose_rafael_vivian,8,Meio-campo,94,90,4,2T
8473,2024,7,Criciuma,criciuma,Amarelo,Allano,allano,2,Atacante,96,90,6,2T
8473,2024,7,Criciuma,criciuma,Amarelo,Luiz Gustavo de Almeida,luiz_gustavo_de_almeida,1,Goleiro,88,88,0,2T
8473,2024,7,Criciuma,criciuma,Amarelo,Higor Meritão,higor_meritao,5,Meio-campo,62,62,0,2T
8474,2024,7,Sao Paulo,sao_paulo,Amarelo,Alan Franco,alan_franco,28,Zagueiro,52,45,7,1T
8474,2024,7,Cruzeiro,cruzeiro,Amarelo,Álvaro Barreal,alvaro_barreal,21,Meio-campo,13,13,0,1T
8474,2024,7,Cruzeiro,cruzeiro,Vermelho,Marlon Rodrigues Xavier,marlon_rodrigues_xavier,3,Zagueiro,38,38,0,1T
8474,2024,7,Sao Paulo,sao_paulo,Amarelo,Alisson Euler de Freitas Castro,alisson_euler_de_freitas_castro,25,Meio-campo,80,80,0,2T
8474,2024,7,Cruzeiro,cruzeiro,Amarelo,Kaiki Bruno,kaiki_bruno,6,Zagueiro,63,63,0,2T
8475,2024,7,Fortaleza,fortaleza,Amarelo,Emmanuel Martínez,emmanuel_martinez,8,Meio-campo,43,43,0,1T
8475,2024,7,Athletico-PR,athletico_pr,Amarelo,Zé Vitor,ze_vitor,30,Meio-campo,69,69,0,2T
8475,2024,7,Athletico-PR,athletico_pr,Amarelo,Madson,madson,22,Zagueiro,47,47,0,2T
8475,2024,7,Fortaleza,fortaleza,Amarelo,Yago Pikachu,yago_pikachu,22,Meio-campo,97,90,7,2T
8475,2024,7,Fortaleza,fortaleza,Amarelo,Pedro Augusto,pedro_augusto,28,Meio-campo,42,42,0,1T
8475,2024,7,Athletico-PR,athletico_pr,Amarelo,Christian Roberto Alves Cardoso,christian_roberto_alves_cardoso,88,Meio-campo,49,49,0,2T
8475,2024,7,Athletico-PR,athletico_pr,Amarelo,Felipinho,felipinho,23,Meio-campo,19,19,0,1T
8425,2024,2,Cuiaba,cuiaba,Amarelo,Marllon Borges,marllon_borges,4,Zagueiro,86,86,0,2T
8425,2024,2,Cuiaba,cuiaba,Amarelo,Lucas Mineiro,lucas_mineiro,30,Meio-campo,16,16,0,1T
8425,2024,2,Vitoria,vitoria,Amarelo,Luiz Adriano,luiz_adriano,12,Atacante,77,77,0,2T
8425,2024,2,Vitoria,vitoria,Amarelo,Wagner Leonardo,wagner_leonardo,4,Zagueiro,7,7,0,1T
8425,2024,2,Cuiaba,cuiaba,Amarelo,Raylan,raylan,21,Zagueiro,23,23,0,1T
8425,2024,2,Vitoria,vitoria,Amarelo,Lepu,lepu,97,Zagueiro,80,80,0,2T
8425,2024,2,Vitoria,vitoria,Amarelo,Caio Vinícius da Conceição,caio_vinicius_da_conceicao,15,Meio-campo,11,11,0,1T
8453,2024,5,Juventude,juventude,Amarelo,João Lucas,joao_lucas,2,Zagueiro,90,90,0,2T
8453,2024,5,Atletico-GO,atletico_go,Amarelo,Magno Jose da Silva,magno_jose_da_silva,2,Zagueiro,64,64,0,2T
8453,2024,5,Atletico-GO,atletico_go,Amarelo,Alix Vinicius,alix_vinicius,4,Zagueiro,46,46,0,2T
8453,2024,5,Juventude,juventude,Vermelho,João Lucas,joao_lucas,2,Zagueiro,90,90,0,2T
8453,2024,5,Juventude,juventude,Amarelo,Jadson,jadson,16,Meio-campo,3,3,0,1T
8453,2024,5,Atletico-GO,atletico_go,Amarelo,Rhaldney,rhaldney,7,Meio-campo,50,50,0,2T
8453,2024,5,Atletico-GO,atletico_go,Amarelo,Guilherme Romão,guilherme_romao,6,Zagueiro,10,10,0,1T
8463,2024,6,Criciuma,criciuma,Vermelho,Miguel Trauco,miguel_trauco,14,Zagueiro,79,79,0,2T
8463,2024,6,Criciuma,criciuma,Amarelo,Rodrigo Fagundes de Freitas,rodrigo_fagundes_de_freitas,3,Zagueiro,88,88,0,2T
8463,2024,6,Criciuma,criciuma,Amarelo,Ronald,ronald,6,Meio-campo,77,77,0,2T
8463,2024,6,Criciuma,criciuma,Amarelo,Eder Citadin Martins,eder_citadin_martins,23,Atacante,70,70,0,2T
