temporada,serie,clube_slug,registro_cbf,apelido,atleta_slug,num_camisa,partidas_relacionado,partidas_jogadas,partidas_como_titular,minutos_em_campo,media_minutos_por_jogo
2022,B,ituano,581594,Chrigor,chrigor_flores_moraes,19,21,17,1,399,23.5
2022,B,guarani,443810,Edson Carioca,edson_carioca,88,14,12,3,395,32.9
2022,B,sampaio_correa,431106,Eronildo,eronildo_dos_santos_rocha,18,16,10,5,391,39.1
2022,B,vasco_da_gama_s_a_f,447783,Raniel,raniel,9,8,6,6,388,64.7
2022,B,criciuma,441692,Gustavo,gustavo_cazonatti,5,11,6,6,387,64.5
2022,B,vila_nova,310961,Rubens,rubens_da_silva_coura,19,19,13,3,384,29.5
2022,B,nautico,456741,Nascimento,mateus_nascimento_soares,14,17,8,5,382,47.8
2022,B,vila_nova,189739,HUGO CABRAL,hugo_da_silva_cabral,22,12,11,2,380,34.5
2022,B,tombense,544426,Mingotti,mingotti,19,11,6,4,378,63.0
2022,B,ituano,291855,Neto Berola,neto_berola,20,8,8,5,376,47.0
2022,B,vasco_da_gama_s_a_f,646848,Juan Quintero,juan_quintero,2,12,5,4,376,75.2
2022,B,brusque,311522,Ianson,ianson_acosta_soares,30,12,5,5,373,74.6
2022,B,ituano,543481,Vinicius,vinicius,17,10,10,1,371,37.1
2022,B,csa,507566,Hector,hector_miguel_canteros,19,14,8,5,366,45.8
2022,B,operario,344838,Leonardo,leonardo_kalil_abdala,23,14,10,3,364,36.4
2022,B,vila_nova,548842,Matheus,matheus,23,10,8,4,364,45.5
2022,B,cruzeiro_saf,540186,Lincoln,lincoln_correa_dos_santos,12,14,9,4,363,40.3
2022,B,nautico,597155,BRUNO,bruno,12,7,4,4,360,90.0
2022,B,novorizontino,433789,Lucas Pereira,lucas_pereira,1,11,4,4,360,90.0
2022,B,sport,309585,Carlos,carlos,92,34,4,4,360,90.0
2022,B,nautico,462610,Luis Phelipe,luis_phelipe,17,13,10,4,356,35.6
2022,B,tombense,441692,Gustavo,gustavo_cazonatti,5,7,6,3,353,58.8
2022,B,nautico,393463,Ailton,ailton_ferreira_silva,14,6,4,4,352,88.0
2022,B,gremio,303436,Leonardo,leonardo,2,7,7,3,350,50.0
2022,B,sport,439695,Fabricio,fabricio,98,11,9,4,349,38.8
2022,B,chapecoense,439721,Kevin,kevin_kesley_de_souza,15,29,10,2,347,34.7
2022,B,ponte_preta,374267,Guilherme,guilherme,39,12,6,3,346,57.7
2022,B,nautico,329055,Niltinho,nilton_soares_rodrigues,23,13,9,3,344,38.2
2022,B,csa,184798,Didira,cicero_dos_santos,19,18,9,3,339,37.7
