partida_id,temporada,serie,rodada,clube,clube_slug,atleta,atleta_slug,num_camisa,minuto_nominal,acrescimo,minuto_continuo,periodo,tipo_de_gol
43,2022,B,0,"Motivo: A1.24.  Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser\",motivo_a1_24_outro_motivo_somente_neste_caso_abriria_um_campo_livre_para_o_arbitro_digitar_o_que_quiser,Náutico/PE,nautico_pe,23,42,0,42,1T,Normal
43,2022,B,0,,,Nao Informado,nao_informado,23,43,0,43,1T,Normal
43,2022,B,0,Motivo: A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Por atingir com o joelho nas costas,motivo_a1_13_dar_uma_entrada_contra_um_adversario_de_maneira_temeraria_na_disputa_da_bola_por_atingir_com_o_joelho_nas_costas,Guarani/SP,guarani_sp,16,45,0,45,1T,Normal
43,2022,B,0,"Motivo: A1.24.  Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser\",motivo_a1_24_outro_motivo_somente_neste_caso_abriria_um_campo_livre_para_o_arbitro_digitar_o_que_quiser,Guarani/SP,guarani_sp,8,4,0,49,2T,Normal
43,2022,B,0,"Motivo: A2.  Desaprovar com palavras ou gestos as decisões da arbitragem  - Por reclamação a arbitragem,dando um soco no ar.",motivo_a2_desaprovar_com_palavras_ou_gestos_as_decisoes_da_arbitragem_por_reclamacao_a_arbitragem_dando_um_soco_no_ar,Náutico/PE,nautico_pe,3,6,0,51,2T,Normal
43,2022,B,0,"Motivo: A1.24.  Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser\",motivo_a1_24_outro_motivo_somente_neste_caso_abriria_um_campo_livre_para_o_arbitro_digitar_o_que_quiser,Guarani/SP,guarani_sp,13,12,0,57,2T,Normal
43,2022,B,0,"Motivo: A2.  Desaprovar com palavras ou gestos as decisões da arbitragem  - Por reclamar da arbitragem acintosamente,saindo da",motivo_a2_desaprovar_com_palavras_ou_gestos_as_decisoes_da_arbitragem_por_reclamar_da_arbitragem_acintosamente_saindo_da,Guarani/SP,guarani_sp,PF,40,0,85,2T,Normal
43,2022,B,0,Náutico,nautico,Amarildo Aparecido de Souza Junior,amarildo_aparecido_de_souza_junior,19,90,4,94,2T,Normal
44,2022,B,5,Motivo: A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola -  por dar uma entrada de maneira,motivo_a1_13_dar_uma_entrada_contra_um_adversario_de_maneira_temeraria_na_disputa_da_bola_por_dar_uma_entrada_de_maneira,Criciúma/SC,criciuma_sc,9,3,0,3,1T,Normal
44,2022,B,5,Motivo: A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola -  por dar uma entrada de maneira,motivo_a1_13_dar_uma_entrada_contra_um_adversario_de_maneira_temeraria_na_disputa_da_bola_por_dar_uma_entrada_de_maneira,Novorizontino/SP,novorizontino_sp,5,7,0,7,1T,Normal
