partida_id,temporada,serie,rodada,clube,clube_slug,momento,periodo,minuto_nominal,acrescimo,minuto_continuo,num_entrou,atleta_entrou,atleta_entrou_slug,num_saiu,atleta_saiu,atleta_saiu_slug
204,2023,B,21,Ituano,ituano,2T,2T,10,0,55,20,Alejandro Santana Viniegra,alejandro_santana_viniegra,10,Davi Machado dos Santos Araujo,davi_machado_dos_santos_araujo
204,2023,B,21,Ituano,ituano,2T,2T,20,0,65,17,Helio Cunha Borges,helio_cunha_borges,11,Felipe Guilherme Santos Fons,felipe_guilherme_santos_fons
204,2023,B,21,Tombense,tombense,2T,2T,27,0,72,17,Jaderson Flores dos Reis,jaderson_flores_dos_reis,8,Joao Pedro Mendes Santos,joao_pedro_mendes_santos
204,2023,B,21,Tombense,tombense,2T,2T,27,0,72,18,Rafael Barbosa Silva,rafael_barbosa_silva,11,Kleiton Pego Duarte,kleiton_pego_duarte
204,2023,B,21,Ituano,ituano,2T,2T,90,1,91,15,Wesley Frazan Bernardo,wesley_frazan_bernardo,7,Wesley da Conceicao Duarte M,wesley_da_conceicao_duarte_m
205,2023,B,21,Avaí,avai,INT,2T,45,0,45,25,Natanael Batista Pimenta,natanael_batista_pimenta,38,Felipe Jose Almeida da Rocha,felipe_jose_almeida_da_rocha
205,2023,B,21,Mirassol,mirassol,2T,2T,21,0,66,19,Cristian Renato Gonçalves Ri,cristian_renato_goncalves_ri,9,Jose Roberto Assunçao de Ara,jose_roberto_assuncao_de_ara
205,2023,B,21,Mirassol,mirassol,2T,2T,21,0,66,17,Fernando Jose Marques Maciel,fernando_jose_marques_maciel,10,Gabriel Santana Pinto,gabriel_santana_pinto
205,2023,B,21,Avaí,avai,2T,2T,26,0,71,19,Gabriel Buscariol Poveda,gabriel_buscariol_poveda,9,Denilson Pereira Junior,denilson_pereira_junior
205,2023,B,21,Avaí,avai,2T,2T,26,0,71,44,Douglas Silva Bacelar,douglas_silva_bacelar,8,Eduardo Jacinto de Biasi,eduardo_jacinto_de_biasi
205,2023,B,21,Mirassol,mirassol,2T,2T,26,0,71,20,Fernando Camilo Farias,fernando_camilo_farias,5,Yuri Oliveira Lima,yuri_oliveira_lima
205,2023,B,21,Avaí,avai,2T,2T,32,0,77,39,João Vitor Xavier de Almeida,joao_vitor_xavier_de_almeida,5,Wellington Aparecido Martins,wellington_aparecido_martins
205,2023,B,21,Mirassol,mirassol,2T,2T,34,0,79,14,Luiz Flavio Silverio Silva,luiz_flavio_silverio_silva,7,Francisco Hyun Sol Kim,francisco_hyun_sol_kim
205,2023,B,21,Mirassol,mirassol,2T,2T,34,0,79,18,Matheus Santos Soares,matheus_santos_soares,11,Luis Henrique Soares Firmino,luis_henrique_soares_firmino
205,2023,B,21,Avaí,avai,2T,2T,45,0,90,90,Fellipe Ramos Ignez Bastos,fellipe_ramos_ignez_bastos,23,Rafael Gustavo Meneghel Gava,rafael_gustavo_meneghel_gava
206,2023,B,21,Vitória,vitoria,INT,2T,45,0,45,20,Giovanni Augusto Oliveira Ca,giovanni_augusto_oliveira_ca,8,Jhonny Lucas Flora Barboza,jhonny_lucas_flora_barboza
206,2023,B,21,Vitória,vitoria,INT,2T,45,0,45,18,Geirton Marques Aires,geirton_marques_aires,5,Yan da Cruz Souto,yan_da_cruz_souto
206,2023,B,21,Vitória,vitoria,2T,2T,18,0,63,19,Iury Lirio Freitas de Castilho,iury_lirio_freitas_de_castilho,9,Leonardo Gamalho de Souza,leonardo_gamalho_de_souza
206,2023,B,21,Vitória,vitoria,2T,2T,18,0,63,17,Jose Hugo Sousa dos Santos,jose_hugo_sousa_dos_santos,10,Wellington Silva Sanches Agu,wellington_silva_sanches_agu
206,2023,B,21,Abc,abc,2T,2T,23,0,68,30,Anderson Cordeiro Costa,anderson_cordeiro_costa,18,Fabio de Lima Costa,fabio_de_lima_costa
206,2023,B,21,Abc,abc,2T,2T,23,0,68,27,Geovane Henrique Pereira de,geovane_henrique_pereira_de,99,Nathan Melo Silva,nathan_melo_silva
206,2023,B,21,Abc,abc,2T,2T,32,0,77,55,Renan Bardini Bressan,renan_bardini_bressan,97,Evandro da Silva,evandro_da_silva
206,2023,B,21,Vitória,vitoria,2T,2T,39,0,84,22,Railan Reis Ferreira,railan_reis_ferreira,2,Jose Carlos Cracco Neto,jose_carlos_cracco_neto
206,2023,B,21,Abc,abc,2T,2T,90,3,93,75,Maycon Douglas Oliveira Silva,maycon_douglas_oliveira_silva,22,Jean Francisco Martim Candido,jean_francisco_martim_candido
207,2023,B,21,Sampaio Corrêa,sampaio_correa,INT,2T,45,0,45,23,Claudio Sousa Santos Junior,claudio_sousa_santos_junior,17,Samuel Henrique dos Santos E,samuel_henrique_dos_santos_e
